chapter,verse,text,prep,aqidah,akhlak,syariah,ilmu,kisah,dunia,ghaib,akhirat
1,1,Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang.,sebut nama allah maha murah maha sayang,1,0,0,0,0,0,0,0
1,2,"Segala puji bagi Allah, Tuhan semesta alam.",puji allah tuhan semesta alam,1,1,0,0,0,0,0,0
1,3,Maha Pemurah lagi Maha Penyayang.,maha murah maha sayang,1,0,0,0,0,0,0,0
1,4,Yang menguasai di Hari Pembalasan.,kuasa hari balas,1,0,0,0,0,0,0,0
1,5,"Hanya Engkaulah yang kami sembah, dan hanya kepada Engkaulah kami meminta pertolongan.",engkau sembah engkau tolong,1,0,1,0,0,0,0,0
1,6,"Tunjukilah kami jalan yang lurus,",tunjuk jalan lurus,1,1,0,0,0,0,0,0
1,7,(yaitu) Jalan orang-orang yang telah Engkau beri nikmat kepada mereka; bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.,jalan orangorang engkau nikmat jalan murka jalan sesat,1,1,0,0,0,0,0,0
2,1,Alif laam miim.,alif laam miim,1,0,0,0,0,0,0,0
2,2,"Kitab (Al Quran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,",kitab al quran ragu tunjuk takwa,1,0,1,0,0,0,0,0
2,3,"(yaitu) mereka yang beriman kepada yang ghaib, yang mendirikan shalat, dan menafkahkan sebahagian rezeki yang Kami anugerahkan kepada mereka.",iman ghaib diri shalat nafkah sebahagian rezeki anugerah,1,0,0,0,0,0,1,0
2,4,"dan mereka yang beriman kepada Kitab (Al Quran) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu, serta mereka yakin akan adanya (kehidupan) akhirat.",iman kitab al quran turun kepada kitabkitab turun belum hidup akhirat,1,0,0,0,0,0,0,1
2,5,"Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang beruntung.",tunjuk tuhan orangorang untung,1,0,0,0,0,0,0,0
2,6,"Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak juga akan beriman.",sungguh orangorang kafir ingat ingat iman,1,0,0,0,0,0,0,0
2,7,"Allah telah mengunci-mati hati dan pendengaran mereka, dan penglihatan mereka ditutup. Dan bagi mereka siksa yang amat berat.",allah menguncimati hati dengar lihat tutup siksa berat,1,0,0,0,0,0,0,0
2,8,"Di antara manusia ada yang mengatakan: \""Kami beriman kepada Allah dan Hari kemudian,\"" pada hal mereka itu sesungguhnya bukan orang-orang yang beriman.",manusia iman allah hari sungguh orangorang iman,1,0,0,0,0,1,0,0
2,9,"Mereka hendak menipu Allah dan orang-orang yang beriman, padahal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar.",tipu allah orangorang iman tipu sadar,1,0,0,0,0,0,0,0
2,10,"Dalam hati mereka ada penyakit, lalu ditambah Allah penyakitnya; dan bagi mereka siksa yang pedih, disebabkan mereka berdusta.",hati sakit tambah allah sakit siksa pedih sebab dusta,1,0,0,0,0,0,0,0
2,11,"Dan bila dikatakan kepada mereka: \""Janganlah kamu membuat kerusakan di muka bumi\"". Mereka menjawab: \""Sesungguhnya kami orang-orang yang mengadakan perbaikan\"".",rusa muka bumi sungguh orangorang ada baik,1,0,1,0,0,1,0,0
2,12,"Ingatlah, sesungguhnya mereka itulah orang-orang yang membuat kerusakan, tetapi mereka tidak sadar.",ingat sungguh orangorang rusa sadar,1,0,0,0,0,1,0,0
2,13,"Apabila dikatakan kepada mereka: \""Berimanlah kamu sebagaimana orang-orang lain telah beriman\"". Mereka menjawab: \""Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman?\"" Ingatlah, sesungguhnya merekalah orang-orang yang bodoh; tetapi mereka tidak tahu.",rim orangorang iman rim orangorang bodoh iman ingat sungguh orangorang bodoh,1,0,0,0,0,0,0,0
2,14,"Dan bila mereka berjumpa dengan orang-orang yang beriman, mereka mengatakan: \""Kami telah beriman\"". Dan bila mereka kembali kepada syaitan-syaitan mereka, mereka mengatakan: \""Sesungguhnya kami sependirian dengan kamu, kami hanyalah berolok-olok\"".",jumpa orangorang iman iman syaitansyaitan sungguh diri berolokolok,1,0,0,0,0,0,0,0
2,15,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,allah balas olokolokan biar terombangambing sesat,1,0,0,0,0,0,0,0
2,16,"Mereka itulah orang yang membeli kesesatan dengan petunjuk, maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.",orang beli sesat tunjuk untung niaga tunjuk,1,1,0,0,0,0,0,0
2,17,"Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka, dan membiarkan mereka dalam kegelapan, tidak dapat melihat.",umpama orang nyala api api rang keliling allah hilang cahaya sari biar gelap,1,0,0,1,0,0,0,0
2,18,"Mereka tuli, bisu dan buta, maka tidaklah mereka akan kembali (ke jalan yang benar),",tuli bisu buta jalan,1,0,0,0,0,1,0,0
2,19,"atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita, guruh dan kilat; mereka menyumbat telinganya dengan anak jarinya, karena (mendengar suara) petir, sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.",orangorang timpa hujan lebat langit serta gelap gulita guruh kilat sumbat telinga anak jari dengar suara petir takut mati allah liput orangorang kafir,1,0,0,0,0,1,0,0
2,20,"Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka, mereka berjalan di bawah sinar itu, dan bila gelap menimpa mereka, mereka berhenti. Jikalau Allah menghendaki, niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.",hampirhampir kilat sambar lihat kali kilat sari jalan sinar gelap timpa henti allah niscaya lenyap dengar lihat sungguh allah kuasa,1,0,0,0,0,0,0,0
2,21,"Hai manusia, sembahlah Tuhanmu yang telah menciptakanmu dan orang-orang yang sebelummu, agar kamu bertakwa,",hai manusia sembah tuhan cipta orangorang belum takwa,1,0,0,0,0,1,0,0
2,22,"Dialah yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap, dan Dia menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu; karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah, padahal kamu mengetahui.",jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan buahbuahan rezeki untuk ada sekutusekutu allah,1,0,0,1,0,1,0,0
2,23,"Dan jika kamu (tetap) dalam keraguan tentang Al Quran yang Kami wahyukan kepada hamba Kami (Muhammad), buatlah satu surat (saja) yang semisal Al Quran itu dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.",ragu al quran wahyu hamba muhammad buat surat al quran ajak penolongpenolongmu allah orangorang,1,0,0,0,0,0,0,0
2,24,"Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir.",buat buat pelihara diri neraka bahan bakar manusia batu sedia orangorang kafir,0,0,0,0,0,0,0,1
2,25,"Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik, bahwa bagi mereka disediakan surga-surga yang mengalir sungai-sungai di dalamnya. Setiap mereka diberi rezeki buah-buahan dalam surga-surga itu, mereka mengatakan: \""Inilah yang pernah diberikan kepada kami dahulu\"". Mereka diberi buah-buahan yang serupa dan untuk mereka di dalamnya ada isteri-isteri yang suci dan mereka kekal di dalamnya.",sampai berita gembira iman buat sedia surgasurga alir sungaisungai dalam rezeki buahbuahan surgasurga buahbuahan dalam isteriisteri suci kekal dalam,1,0,1,0,0,1,0,1
2,26,"Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman, maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka, tetapi mereka yang kafir mengatakan: \""Apakah maksud Allah menjadikan ini untuk perumpamaan?\"". Dengan perumpamaan itu banyak orang yang disesatkan Allah, dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,",sungguh allah tiada segan umpama nyamuk rendah orangorang iman umpama tuhan kafir maksud allah jadi umpama umpama orang sesat allah umpama orang beri tunjuk sesat allah kecuali orangorang fasik,1,0,1,1,0,1,0,0
2,27,"(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh, dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya dan membuat kerusakan di muka bumi. Mereka itulah orang-orang yang rugi.",orangorang langgar janji allah janji teguh putus perintah allah hubung rusa muka bumi orangorang rugi,0,0,0,0,0,1,0,0
2,28,"Mengapa kamu kafir kepada Allah, padahal kamu tadinya mati, lalu Allah menghidupkan kamu, kemudian kamu dimatikan dan dihidupkan-Nya kembali, kemudian kepada-Nya-lah kamu dikembalikan?",kafir allah mati allah hidup mati hidup kepada kembali,1,0,0,0,0,0,0,1
2,29,"Dialah Allah, yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak (menciptakan) langit, lalu dijadikan-Nya tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.",allah jadi bumi cipta langit jadi tujuh langit maha,1,0,0,1,0,1,0,0
2,30,"Ingatlah ketika Tuhanmu berfirman kepada para Malaikat: \""Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi\"". Mereka berkata: \""Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah, padahal kami senantiasa bertasbih dengan memuji Engkau dan mensucikan Engkau?\"" Tuhan berfirman: \""Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui\"".",ingat tuhan firman malaikat sungguh jadi khalifah muka bumi engkau jadi khalifah bumi orang rusa tumpah darah senantiasa tasbih puji engkau suci engkau tuhan firman sungguh tahu,1,1,0,1,1,1,1,0
2,31,"Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya, kemudian mengemukakannya kepada para Malaikat lalu berfirman: \""Sebutkanlah kepada-Ku nama benda-benda itu jika kamu mamang benar orang-orang yang benar!\""",ajar adam namanama bendabenda muka malaikat firman sebut kepada nama bendabenda mamang orangorang,1,0,0,0,1,0,1,0
2,32,"Mereka menjawab: \""Maha Suci Engkau, tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami; sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana\"".",maha suci engkau tahu engkau ajar sungguh engkau maha maha bijaksana,1,0,0,0,1,0,0,0
2,33,"Allah berfirman: \""Hai Adam, beritahukanlah kepada mereka nama-nama benda ini\"". Maka setelah diberitahukannya kepada mereka nama-nama benda itu, Allah berfirman: \""Bukankah sudah Ku-katakan kepadamu, bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?\""",allah firman hai adam beritahukanlah namanama benda diberitahukannya namanama benda allah firman kata kepada sungguh rahasia langit bumi lahir sembunyi,0,0,0,0,1,0,0,0
2,34,"Dan (ingatlah) ketika Kami berfirman kepada para malaikat: \""Sujudlah kamu kepada Adam,\"" maka sujudlah mereka kecuali Iblis; ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir.",ingat firman malaikat sujud adam sujud kecuali iblis enggan takabur golong orangorang kafir,1,0,0,0,1,0,1,0
2,35,"Dan Kami berfirman: \""Hai Adam, diamilah oleh kamu dan isterimu surga ini, dan makanlah makanan-makanannya yang banyak lagi baik dimana saja yang kamu sukai, dan janganlah kamu dekati pohon ini, yang menyebabkan kamu termasuk orang-orang yang zalim.",firman hai adam diam isterimu surga makan makananmakanannya mana suka dekat pohon sebab orangorang zalim,0,1,0,0,1,0,0,0
2,36,"Lalu keduanya digelincirkan oleh syaitan dari surga itu dan dikeluarkan dari keadaan semula dan Kami berfirman: \""Turunlah kamu! sebagian kamu menjadi musuh bagi yang lain, dan bagi kamu ada tempat kediaman di bumi, dan kesenangan hidup sampai waktu yang ditentukan\"".",gelincir syaitan surga keluar firman turun musuh diam bumi senang hidup tentu,0,0,0,0,1,1,1,0
2,37,"Kemudian Adam menerima beberapa kalimat dari Tuhannya, maka Allah menerima taubatnya. Sesungguhnya Allah Maha Penerima taubat lagi Maha Penyayang.",adam terima kalimat tuhan allah terima taubat sungguh allah maha terima taubat maha sayang,1,0,0,0,1,0,0,0
2,38,"Kami berfirman: \""Turunlah kamu semuanya dari surga itu! Kemudian jika datang petunjuk-Ku kepadamu, maka barang siapa yang mengikuti petunjuk-Ku, niscaya tidak ada kekhawatiran atas mereka, dan tidak (pula) mereka bersedih hati\"".",firman turun surga tunjuk kepada barang ikut tunjuk niscaya khawatir sedih hati,0,0,0,0,1,0,0,0
2,39,"Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu penghuni neraka; mereka kekal di dalamnya.",orangorang kafir dusta ayatayat huni neraka kekal dalam,0,0,0,0,0,0,0,1
2,40,"Hai Bani Israil, ingatlah akan nikmat-Ku yang telah Aku anugerahkan kepadamu, dan penuhilah janjimu kepada-Ku, niscaya Aku penuhi janji-Ku kepadamu; dan hanya kepada-Ku-lah kamu harus takut (tunduk).",hai bani israil ingat nikmat anugerah kepada penuh janji kepada niscaya penuh janji kepada kepada takut tunduk,0,1,0,0,1,0,0,0
2,41,"Dan berimanlah kamu kepada apa yang telah Aku turunkan (Al Quran) yang membenarkan apa yang ada padamu (Taurat), dan janganlah kamu menjadi orang yang pertama kafir kepadanya, dan janganlah kamu menukarkan ayat-ayat-Ku dengan harga yang rendah, dan hanya kepada Akulah kamu harus bertakwa.",rim turun al quran benar pada taurat orang kafir tukar ayatayatku harga rendah takwa,1,1,0,0,1,0,0,0
2,42,"Dan janganlah kamu campur adukkan yang hak dengan yang bathil dan janganlah kamu sembunyikan yang hak itu, sedang kamu mengetahui.",campur aduk hak bathil sembunyi hak,0,1,0,0,1,0,0,0
2,43,"Dan dirikanlah shalat, tunaikanlah zakat dan ruku´lah beserta orang-orang yang ruku´.",diri shalat tunai zakat ruku lah serta orangorang ruku,0,1,0,0,0,0,0,0
2,44,"Mengapa kamu suruh orang lain (mengerjakan) kebaktian, sedang kamu melupakan diri (kewajiban)mu sendiri, padahal kamu membaca Al Kitab (Taurat)? Maka tidaklah kamu berpikir?",suruh orang bakti lupa wajib baca al kitab taurat pikir,0,0,0,1,0,0,0,0
2,45,"Jadikanlah sabar dan shalat sebagai penolongmu. Dan sesungguhnya yang demikian itu sungguh berat, kecuali bagi orang-orang yang khusyu´,",jadi sabar shalat tolong sungguh sungguh berat kecuali orangorang khusyu,0,1,1,0,0,0,0,0
2,47,"Hai Bani Israil, ingatlah akan nikmat-Ku yang telah Aku anugerahkan kepadamu dan (ingatlah pula) bahwasanya Aku telah melebihkan kamu atas segala umat.",hai bani israil ingat nikmat anugerah kepada ingat lebih umat,0,0,0,0,1,0,0,0
2,48,"Dan jagalah dirimu dari (azab) hari (kiamat, yang pada hari itu) seseorang tidak dapat membela orang lain, walau sedikitpun; dan (begitu pula) tidak diterima syafa´at dan tebusan dari padanya, dan tidaklah mereka akan ditolong.",jaga diri azab hari kiamat hari bela orang sedikit terima syafa at tebus tolong,0,0,0,0,1,0,0,0
2,49,"Dan (ingatlah) ketika Kami selamatkan kamu dari (Fir´aun) dan pengikut-pengikutnya; mereka menimpakan kepadamu siksaan yang seberat-beratnya, mereka menyembelih anak-anakmu yang laki-laki dan membiarkan hidup anak-anakmu yang perempuan. Dan pada yang demikian itu terdapat cobaan-cobaan yang besar dari Tuhanmu.",ingat selamat fir aun pengikutpengikutnya timpa kepada siksa seberatberatnya sembelih anakanakmu lakilaki biar hidup anakanakmu perempuan cobaancobaan tuhan,0,1,0,0,1,0,0,0
2,50,"Dan (ingatlah), ketika Kami belah laut untukmu, lalu Kami selamatkan kamu dan Kami tenggelamkan (Fir´aun) dan pengikut-pengikutnya sedang kamu sendiri menyaksikan.",ingat belah laut untuk selamat tenggelam fir aun pengikutpengikutnya saksi,1,0,0,0,1,1,0,0
2,51,"Dan (ingatlah), ketika Kami berjanji kepada Musa (memberikan Taurat, sesudah) empat puluh malam, lalu kamu menjadikan anak lembu (sembahan) sepeninggalnya dan kamu adalah orang-orang yang zalim.",ingat janji musa taurat puluh malam jadi anak lembu sembah tinggal orangorang zalim,0,0,0,1,1,0,0,0
2,53,"Dan (ingatlah), ketika Kami berikan kepada Musa Al Kitab (Taurat) dan keterangan yang membedakan antara yang benar dan yang salah, agar kamu mendapat petunjuk.",ingat musa al kitab taurat terang beda salah tunjuk,0,0,0,0,1,0,0,0
2,54,"Dan (ingatlah), ketika Musa berkata kepada kaumnya: \""Hai kaumku, sesungguhnya kamu telah menganiaya dirimu sendiri karena kamu telah menjadikan anak lembu (sembahanmu), maka bertaubatlah kepada Tuhan yang menjadikan kamu dan bunuhlah dirimu. Hal itu adalah lebih baik bagimu pada sisi Tuhan yang menjadikan kamu; maka Allah akan menerima taubatmu. Sesungguhnya Dialah Yang Maha Penerima taubat lagi Maha Penyayang\"".",ingat musa kaum hai kaum sungguh aniaya diri jadi anak lembu sembah taubat tuhan jadi bunuh diri bagi sisi tuhan jadi allah terima taubat sungguh maha terima taubat maha sayang,1,0,0,0,1,0,0,0
2,55,"Dan (ingatlah), ketika kamu berkata: \""Hai Musa, kami tidak akan beriman kepadamu sebelum kami melihat Allah dengan terang, karena itu kamu disambar halilintar, sedang kamu menyaksikannya\"".",ingat hai musa iman kepada allah terang sambar halilintar saksi,0,0,0,0,1,0,0,0
2,57,"Dan Kami naungi kamu dengan awan, dan Kami turunkan kepadamu \""manna\"" dan \""salwa\"". Makanlah dari makanan yang baik-baik yang telah Kami berikan kepadamu; dan tidaklah mereka menganiaya Kami; akan tetapi merekalah yang menganiaya diri mereka sendiri.",naung awan turun kepada manna salwa makan makan baikbaik kepada aniaya aniaya,1,1,0,0,0,0,0,0
2,58,"Dan (ingatlah), ketika Kami berfirman: \""Masuklah kamu ke negeri ini (Baitul Maqdis), dan makanlah dari hasil buminya, yang banyak lagi enak dimana yang kamu sukai, dan masukilah pintu gerbangnya sambil bersujud, dan katakanlah: \""Bebaskanlah kami dari dosa\"", niscaya Kami ampuni kesalahan-kesalahanmu, dan kelak Kami akan menambah (pemberian Kami) kepada orang-orang yang berbuat baik\"".",ingat firman masuk negeri baitul maqdis makan hasil bumi enak mana suka masuk pintu gerbang sujud bebas dosa niscaya ampun kesalahankesalahanmu kelak tambah beri orangorang buat,0,0,0,0,1,0,0,0
2,59,"Lalu orang-orang yang zalim mengganti perintah dengan (mengerjakan) yang tidak diperintahkan kepada mereka. Sebab itu Kami timpakan atas orang-orang yang zalim itu dari langit, karena mereka berbuat fasik.",orangorang zalim ganti perintah perintah timpa orangorang zalim langit buat fasik,1,0,0,0,0,1,0,0
2,60,"Dan (ingatlah) ketika Musa memohon air untuk kaumnya, lalu Kami berfirman: \""Pukullah batu itu dengan tongkatmu\"". Lalu memancarlah daripadanya dua belas mata air. Sungguh tiap-tiap suku telah mengetahui tempat minumnya (masing-masing). Makan dan minumlah rezeki (yang diberikan) Allah, dan janganlah kamu berkeliaran di muka bumi dengan berbuat kerusakan.",ingat musa mohon air kaum firman pukul batu tongkat pancar daripada belas mata air sungguh tiaptiap suku minum masingmasing makan minum rezeki allah liar muka bumi buat rusa,1,0,1,0,1,1,0,0
2,61,"Dan (ingatlah), ketika kamu berkata: \""Hai Musa, kami tidak bisa sabar (tahan) dengan satu macam makanan saja. Sebab itu mohonkanlah untuk kami kepada Tuhanmu, agar Dia mengeluarkan bagi kami dari apa yang ditumbuhkan bumi, yaitu sayur-mayurnya, ketimunnya, bawang putihnya, kacang adasnya, dan bawang merahnya\"". Musa berkata: \""Maukah kamu mengambil yang rendah sebagai pengganti yang lebih baik? Pergilah kamu ke suatu kota, pasti kamu memperoleh apa yang kamu minta\"". Lalu ditimpahkanlah kepada mereka nista dan kehinaan, serta mereka mendapat kemurkaan dari Allah. Hal itu (terjadi) karena mereka selalu mengingkari ayat-ayat Allah dan membunuh para Nabi yang memang tidak dibenarkan. Demikian itu (terjadi) karena mereka selalu berbuat durhaka dan melampaui batas.",ingat hai musa sabar tahan makan mohon tuhan keluar tumbuh bumi sayurmayurnya timun bawang putih kacang adas bawang merah musa mau ambil rendah ganti pergi kota oleh ditimpahkanlah nista hina murka allah ingkar ayatayat allah bunuh nabi benar buat durhaka lampau batas,1,1,0,0,1,1,0,0
2,62,"Sesungguhnya orang-orang mukmin, orang-orang Yahudi, orang-orang Nasrani dan orang-orang Shabiin, siapa saja diantara mereka yang benar-benar beriman kepada Allah, hari kemudian dan beramal saleh, mereka akan menerima pahala dari Tuhan mereka, tidak ada kekhawatiran kepada mereka, dan tidak (pula) mereka bersedih hati.",sungguh orangorang mukmin orangorang yahudi orangorang nasrani orangorang shabiin benarbenar iman allah hari amal saleh terima pahala tuhan khawatir sedih hati,1,0,1,0,0,0,0,0
2,64,"Kemudian kamu berpaling setelah (adanya perjanjian) itu, maka kalau tidak ada karunia Allah dan rahmat-Nya atasmu, niscaya kamu tergolong orang yang rugi.",paling janji karunia allah rahmat atas niscaya golong orang rugi,0,0,0,0,1,0,0,0
2,65,"Dan sesungguhnya telah kamu ketahui orang-orang yang melanggar diantaramu pada hari Sabtu, lalu Kami berfirman kepada mereka: \""Jadilah kamu kera yang hina\"".",sungguh tahu orangorang langgar antara hari sabtu firman kera hina,0,0,0,0,0,1,0,0
2,66,"Maka Kami jadikan yang demikian itu peringatan bagi orang-orang dimasa itu, dan bagi mereka yang datang kemudian, serta menjadi pelajaran bagi orang-orang yang bertakwa.",jadi ingat orangorang masa ajar orangorang takwa,0,0,1,0,0,0,0,0
2,67,"Dan (ingatlah), ketika Musa berkata kepada kaumnya: \""Sesungguhnya Allah menyuruh kamu menyembelih seekor sapi betina\"". Mereka berkata: \""Apakah kamu hendak menjadikan kami buah ejekan?\"" Musa menjawab: \""Aku berlindung kepada Allah agar tidak menjadi salah seorang dari orang-orang yang jahil\"".",ingat musa kaum sungguh allah suruh sembelih ekor sapi betina jadi buah ejek musa lindung allah salah orangorang jahil,0,0,1,1,1,1,0,0
2,68,"Mereka menjawab: \""Mohonkanlah kepada Tuhanmu untuk kami, agar Dia menerangkan kepada kami; sapi betina apakah itu\"". Musa menjawab: \""Sesungguhnya Allah berfirman bahwa sapi betina itu adalah sapi betina yang tidak tua dan tidak muda; pertengahan antara itu; maka kerjakanlah apa yang diperintahkan kepadamu\"".",mohon tuhan terang sapi betina musa sungguh allah firman sapi betina sapi betina tua muda tengah kerja perintah kepada,0,0,0,0,1,1,0,0
