chapter,verse,text,prep
2,46,"(yaitu) orang-orang yang meyakini, bahwa mereka akan menemui Tuhannya, dan bahwa mereka akan kembali kepada-Nya.",orangorang temu tuhan
2,52,"Kemudian sesudah itu Kami maafkan kesalahanmu, agar kamu bersyukur.",maaf salah syukur
2,56,"Setelah itu Kami bangkitkan kamu sesudah kamu mati, supaya kamu bersyukur.",bangkit mati syukur
2,63,"Dan (ingatlah), ketika Kami mengambil janji dari kamu dan Kami angkatkan gunung (Thursina) di atasmu (seraya Kami berfirman): \""Peganglah teguh-teguh apa yang Kami berikan kepadamu dan ingatlah selalu apa yang ada didalamnya, agar kamu bertakwa\"".",ingat ambil janji angkat gunung thursina atas seraya firman pegang teguhteguh kepada ingat dalam takwa
2,72,"Dan (ingatlah), ketika kamu membunuh seorang manusia lalu kamu saling tuduh menuduh tentang itu. Dan Allah hendak menyingkapkan apa yang selama ini kamu sembunyikan.",ingat bunuh manusia tuduh tuduh allah singkap sembunyi
2,77,Tidakkah mereka mengetahui bahwa Allah mengetahui segala yang mereka sembunyikan dan segala yang mereka nyatakan?,allah sembunyi nyata
2,78,"Dan diantara mereka ada yang buta huruf, tidak mengetahui Al Kitab (Taurat), kecuali dongengan bohong belaka dan mereka hanya menduga-duga.",buta huruf al kitab taurat kecuali dongeng bohong belaka mendugaduga
2,86,"Itulah orang-orang yang membeli kehidupan dunia dengan (kehidupan) akhirat, maka tidak akan diringankan siksa mereka dan mereka tidak akan ditolong.",orangorang beli hidup dunia hidup akhirat ringan siksa tolong
2,88,"Dan mereka berkata: \""Hati kami tertutup\"". Tetapi sebenarnya Allah telah mengutuk mereka karena keingkaran mereka; maka sedikit sekali mereka yang beriman.",hati tutup allah kutuk ingkar iman
2,95,"Dan sekali-kali mereka tidak akan mengingini kematian itu selama-lamanya, karena kesalahan-kesalahan yang telah diperbuat oleh tangan mereka (sendiri), dan Allah Maha Mengetahui siapa orang-orang yang aniaya.",sekalikali ingin mati selamalamanya kesalahankesalahan tangan allah maha orangorang aniaya
2,96,"Dan sungguh kamu akan mendapati mereka, manusia yang paling loba kepada kehidupan (di dunia), bahkan (lebih loba lagi) dari orang-orang musyrik. Masing-masing mereka ingin agar diberi umur seribu tahun, padahal umur panjang itu sekali-kali tidak akan menjauhkannya daripada siksa. Allah Maha Mengetahui apa yang mereka kerjakan.",sungguh dapat manusia loba hidup dunia loba orangorang musyrik masingmasing umur ribu umur sekalikali jauh siksa allah maha kerja
2,104,"Hai orang-orang yang beriman, janganlah kamu katakan (kepada Muhammad): \""Raa´ina\"", tetapi katakanlah: \""Unzhurna\"", dan \""dengarlah\"". Dan bagi orang-orang yang kafir siksaan yang pedih.",hai orangorang iman muhammad raa ina unzhurna dengar orangorang kafir siksa pedih
